epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.596,1.09931,1.15427,0.8973,0.9079,0.72329,0.8047,0.66325,0.82097,3.42364,0.79477,0.034075,0.000325,0.000325
2,562.445,0.79203,0.66003,0.82327,0.79989,0.85065,0.89647,0.78347,0.74735,1.55034,0.79634,0.0177286,0.000645298,0.000645298
3,687.506,0.73193,0.62425,0.81411,0.83425,0.85929,0.91918,0.78292,0.77967,1.82326,0.79774,0.00136906,0.000952397,0.000952397
4,774.387,0.70462,0.61666,0.81481,0.84373,0.83539,0.92699,0.79507,0.803,1.40203,0.79483,0.0009406,0.0009406,0.0009406
5,914.302,0.65089,0.55355,0.8113,0.88999,0.82247,0.92978,0.81546,0.65144,1.51512,0.78365,0.0009208,0.0009208,0.0009208
6,1137.84,0.61522,0.53641,0.80626,0.91851,0.82083,0.93475,0.84929,0.60556,1.17374,0.78067,0.000901,0.000901,0.000901
7,1409.03,0.59987,0.51308,0.80399,0.92114,0.81202,0.93388,0.84195,0.66,0.93343,0.78086,0.0008812,0.0008812,0.0008812
8,1641.62,0.55905,0.49861,0.79947,0.87198,0.8871,0.95021,0.86164,0.58302,0.97656,0.77491,0.0008614,0.0008614,0.0008614
9,1729.79,0.53909,0.4926,0.79858,0.87618,0.90782,0.954,0.86016,0.51662,0.88395,0.7768,0.0008416,0.0008416,0.0008416
10,1817.83,0.54594,0.47081,0.80112,0.90974,0.85534,0.95192,0.87445,0.49464,0.75172,0.77707,0.0008218,0.0008218,0.0008218
11,1913.73,0.52545,0.45579,0.79644,0.89222,0.89309,0.95546,0.8972,0.55363,0.75566,0.78016,0.000802,0.000802,0.000802
12,2034.39,0.52832,0.45588,0.79475,0.94178,0.86609,0.95118,0.88543,0.62719,0.75658,0.78792,0.0007822,0.0007822,0.0007822
13,2155.11,0.53564,0.44334,0.79469,0.90783,0.87587,0.95377,0.87032,0.59607,0.71703,0.78675,0.0007624,0.0007624,0.0007624
14,2275.42,0.53237,0.43882,0.79461,0.94439,0.84864,0.96487,0.91714,0.4734,0.71561,0.77395,0.0007426,0.0007426,0.0007426
15,2396.75,0.51631,0.43017,0.79393,0.94634,0.85896,0.96501,0.89928,0.49105,0.73363,0.76993,0.0007228,0.0007228,0.0007228
16,2605.37,0.52131,0.41744,0.78851,0.90551,0.91774,0.97222,0.88623,0.54725,0.74384,0.77903,0.000703,0.000703,0.000703
17,2946.5,0.49572,0.41101,0.79341,0.90082,0.90201,0.96608,0.90971,0.50256,0.71424,0.77871,0.0006832,0.0006832,0.0006832
18,3190.3,0.4729,0.40133,0.79402,0.93199,0.89537,0.96791,0.91786,0.45902,0.65128,0.76976,0.0006634,0.0006634,0.0006634
19,3495.32,0.46683,0.3912,0.78774,0.92688,0.89917,0.96729,0.89153,0.49684,0.68851,0.76784,0.0006436,0.0006436,0.0006436
20,3755.07,0.46855,0.39323,0.78826,0.8783,0.93332,0.9674,0.92512,0.42058,0.56095,0.76758,0.0006238,0.0006238,0.0006238
21,4048.06,0.45231,0.37777,0.78969,0.88735,0.93054,0.96791,0.92742,0.41617,0.59178,0.76812,0.000604,0.000604,0.000604
22,4237.01,0.45347,0.38004,0.79121,0.90586,0.90275,0.96675,0.91339,0.45315,0.5576,0.76869,0.0005842,0.0005842,0.0005842
23,4529.59,0.45157,0.37418,0.79066,0.8619,0.94594,0.96701,0.91899,0.42067,0.49239,0.76484,0.0005644,0.0005644,0.0005644
24,4808.11,0.43823,0.37551,0.78551,0.8868,0.92574,0.97033,0.92618,0.40584,0.49547,0.76347,0.0005446,0.0005446,0.0005446
25,5127.74,0.4689,0.38302,0.7888,0.92885,0.87961,0.96821,0.92769,0.40094,0.50272,0.76289,0.0005248,0.0005248,0.0005248
26,5443.07,0.4747,0.38432,0.7909,0.88787,0.91402,0.96457,0.92275,0.39831,0.47955,0.76325,0.000505,0.000505,0.000505
27,5771.92,0.47119,0.37294,0.78983,0.93037,0.90135,0.97177,0.92033,0.43955,0.47479,0.76337,0.0004852,0.0004852,0.0004852
28,6094.52,0.42244,0.35271,0.78456,0.91008,0.92159,0.97338,0.93684,0.39526,0.48435,0.76508,0.0004654,0.0004654,0.0004654
29,6415.12,0.42979,0.35398,0.78988,0.91317,0.91743,0.96901,0.93776,0.4262,0.6328,0.7667,0.0004456,0.0004456,0.0004456
30,6738.36,0.41731,0.35263,0.78492,0.93477,0.90921,0.97298,0.94371,0.40825,0.63599,0.76793,0.0004258,0.0004258,0.0004258
31,7029.24,0.40914,0.34332,0.78337,0.94839,0.8968,0.97436,0.94423,0.40088,0.55903,0.7638,0.000406,0.000406,0.000406
32,7321.3,0.40806,0.33863,0.78484,0.91671,0.93475,0.97825,0.95,0.35776,0.48525,0.76407,0.0003862,0.0003862,0.0003862
33,7644.25,0.40889,0.33661,0.78364,0.90329,0.95069,0.97884,0.94766,0.34311,0.41315,0.7592,0.0003664,0.0003664,0.0003664
34,7971.37,0.38351,0.32614,0.78321,0.9523,0.90828,0.97668,0.94723,0.34557,0.41668,0.7601,0.0003466,0.0003466,0.0003466
35,8302.27,0.38916,0.32438,0.78484,0.94285,0.91427,0.97706,0.94581,0.37982,0.42732,0.76159,0.0003268,0.0003268,0.0003268
36,8626.67,0.39727,0.32963,0.78716,0.94548,0.92688,0.97765,0.94448,0.37052,0.4194,0.76203,0.000307,0.000307,0.000307
37,8963.93,0.38894,0.32212,0.78588,0.90722,0.93438,0.97698,0.94397,0.40382,0.46419,0.76264,0.0002872,0.0002872,0.0002872
38,9279.63,0.38372,0.31778,0.78502,0.94746,0.92049,0.98149,0.95418,0.38935,0.48145,0.76308,0.0002674,0.0002674,0.0002674
39,9566.44,0.37938,0.31409,0.78484,0.93986,0.91897,0.97892,0.95621,0.40451,0.52668,0.76632,0.0002476,0.0002476,0.0002476
40,9844.2,0.38223,0.31253,0.78477,0.93208,0.94317,0.98056,0.94161,0.43819,0.58405,0.76893,0.0002278,0.0002278,0.0002278
41,10127.1,0.36162,0.31294,0.77581,0.93783,0.92102,0.976,0.93854,0.42203,0.69212,0.76642,0.000208,0.000208,0.000208
42,10364.3,0.35379,0.29828,0.77331,0.9299,0.93843,0.97737,0.93808,0.43561,0.68292,0.77085,0.0001882,0.0001882,0.0001882
43,10643.1,0.3548,0.29733,0.77369,0.93451,0.9338,0.97906,0.94542,0.43286,0.71913,0.77162,0.0001684,0.0001684,0.0001684
