epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19699.2,0.52961,0.4849,0.7976,0.8589,0.80168,0.90162,0.80951,0.38953,1.16818,0.61818,0.0005941,0.0005941,0.0005941
43,20156.3,0.52112,0.4891,0.79712,0.85746,0.80168,0.89981,0.82184,0.35082,1.37444,0.61767,0.0005842,0.0005842,0.0005842
44,20606.6,0.5019,0.46811,0.80026,0.83757,0.8272,0.90806,0.82591,0.3773,0.68607,0.61813,0.0005743,0.0005743,0.0005743
45,21071,0.50271,0.47684,0.79647,0.86297,0.77332,0.90448,0.82088,0.3695,0.46562,0.61745,0.0005644,0.0005644,0.0005644
46,21533.1,0.50041,0.4698,0.79693,0.89187,0.75522,0.87972,0.80292,0.36582,1.25084,0.61679,0.0005545,0.0005545,0.0005545
47,21895.5,0.49107,0.471,0.7959,0.88789,0.74811,0.87748,0.80737,0.33318,2.42279,0.61637,0.0005446,0.0005446,0.0005446
48,22166.4,0.4945,0.47013,0.79642,0.8558,0.77176,0.89202,0.80438,0.38693,2.10286,0.61878,0.0005347,0.0005347,0.0005347
49,22437.4,0.49266,0.47624,0.79568,0.87971,0.76434,0.88354,0.80888,0.35138,3.84271,0.61623,0.0005248,0.0005248,0.0005248
50,22707.4,0.49078,0.46505,0.79656,0.84546,0.76869,0.88863,0.80824,0.35354,4.52603,0.61815,0.0005149,0.0005149,0.0005149
51,22993.3,0.51086,0.48083,0.79838,0.87281,0.78086,0.89753,0.81845,0.36139,2.03679,0.61831,0.000505,0.000505,0.000505
52,23277.4,0.49902,0.47233,0.79699,0.84349,0.80578,0.89438,0.8151,0.35423,2.51424,0.61809,0.0004951,0.0004951,0.0004951
53,23566.3,0.49729,0.46909,0.79343,0.90471,0.77304,0.89489,0.81537,0.35897,1.86097,0.61718,0.0004852,0.0004852,0.0004852
54,23855.3,0.50183,0.47393,0.79369,0.91217,0.76832,0.89439,0.81609,0.36771,1.16514,0.61755,0.0004753,0.0004753,0.0004753
55,24145.2,0.50237,0.46829,0.79504,0.87706,0.7905,0.89993,0.82526,0.34204,1.50692,0.61659,0.0004654,0.0004654,0.0004654
56,24439.6,0.49254,0.46687,0.79351,0.87772,0.76305,0.88958,0.81657,0.34139,1.30285,0.61585,0.0004555,0.0004555,0.0004555
57,24712.7,0.4852,0.46251,0.79276,0.89479,0.76832,0.89638,0.82976,0.33802,0.90498,0.61518,0.0004456,0.0004456,0.0004456
58,24986.4,0.47633,0.45176,0.7922,0.85652,0.79821,0.90841,0.8368,0.338,0.84701,0.6155,0.0004357,0.0004357,0.0004357
59,25270.1,0.47612,0.44743,0.79387,0.88435,0.77424,0.89112,0.82125,0.34259,1.22644,0.61592,0.0004258,0.0004258,0.0004258
60,25549.8,0.47466,0.44779,0.79456,0.86212,0.78297,0.89558,0.8194,0.35668,2.0448,0.61548,0.0004159,0.0004159,0.0004159
61,25833.5,0.4761,0.45444,0.79347,0.865,0.8161,0.9084,0.83649,0.34546,1.92928,0.61843,0.000406,0.000406,0.000406
62,26111.4,0.47601,0.45064,0.79204,0.88613,0.79299,0.90389,0.83505,0.33907,1.88426,0.61637,0.0003961,0.0003961,0.0003961
63,26396.7,0.46624,0.44513,0.79064,0.8566,0.81019,0.90469,0.82788,0.34644,1.84224,0.61639,0.0003862,0.0003862,0.0003862
64,26687.1,0.46686,0.44093,0.79268,0.87443,0.80854,0.9116,0.84042,0.34043,0.87133,0.61548,0.0003763,0.0003763,0.0003763
65,26971.6,0.46537,0.44018,0.79405,0.85812,0.80251,0.90033,0.83064,0.33914,1.28324,0.61646,0.0003664,0.0003664,0.0003664
66,27248.6,0.45796,0.43833,0.79457,0.87339,0.78347,0.89984,0.8278,0.33732,1.96657,0.61596,0.0003565,0.0003565,0.0003565
67,27425.6,0.45824,0.44736,0.79254,0.85001,0.81085,0.90018,0.82744,0.33593,1.32426,0.61482,0.0003466,0.0003466,0.0003466
68,27523.2,0.45117,0.43092,0.79002,0.85594,0.79133,0.89982,0.832,0.32384,1.3636,0.61423,0.0003367,0.0003367,0.0003367
69,27617.7,0.46571,0.44837,0.79455,0.9183,0.77621,0.91008,0.83684,0.32654,0.99114,0.61536,0.0003268,0.0003268,0.0003268
70,27715.7,0.46474,0.44347,0.79203,0.91511,0.77184,0.90768,0.83713,0.3227,1.36822,0.61538,0.0003169,0.0003169,0.0003169
71,27818.5,0.45191,0.43925,0.79326,0.8349,0.81372,0.89599,0.82448,0.33406,2.34689,0.61589,0.000307,0.000307,0.000307
72,27920.8,0.46223,0.44254,0.79205,0.82791,0.83719,0.90124,0.82835,0.33319,2.465,0.61577,0.0002971,0.0002971,0.0002971
73,28019,0.46017,0.44731,0.79298,0.8575,0.8059,0.89855,0.82418,0.33575,1.52674,0.61533,0.0002872,0.0002872,0.0002872
74,28205.6,0.4524,0.42797,0.79212,0.86316,0.82529,0.90539,0.83671,0.32012,1.17528,0.61516,0.0002773,0.0002773,0.0002773
75,28488.8,0.45355,0.4301,0.78975,0.87184,0.82596,0.91073,0.84261,0.32286,1.10463,0.61466,0.0002674,0.0002674,0.0002674
76,28777.9,0.43876,0.42549,0.79005,0.85562,0.80128,0.90166,0.83361,0.32249,1.29689,0.61525,0.0002575,0.0002575,0.0002575
77,29074,0.45238,0.42861,0.79326,0.89199,0.76246,0.90013,0.83759,0.31597,1.52305,0.61517,0.0002476,0.0002476,0.0002476
78,29358.1,0.43761,0.4237,0.78701,0.85285,0.81049,0.90218,0.83625,0.31944,1.45598,0.61515,0.0002377,0.0002377,0.0002377
79,29554.1,0.44379,0.43071,0.79173,0.86171,0.81708,0.90064,0.83618,0.31345,1.79861,0.615,0.0002278,0.0002278,0.0002278
80,29643.2,0.44157,0.42575,0.7891,0.84082,0.80833,0.9002,0.8314,0.32539,1.38097,0.61605,0.0002179,0.0002179,0.0002179
81,29732.1,0.43662,0.4145,0.78751,0.84885,0.79274,0.89801,0.83582,0.30847,2.09534,0.61465,0.000208,0.000208,0.000208
82,29849.4,0.43245,0.40963,0.78717,0.7885,0.84795,0.89725,0.83465,0.31511,3.49053,0.61511,0.0001981,0.0001981,0.0001981
83,29970.5,0.43785,0.41861,0.78912,0.82968,0.80897,0.89744,0.83346,0.32972,2.22278,0.61827,0.0001882,0.0001882,0.0001882
84,30091.2,0.42724,0.4213,0.79032,0.84408,0.80315,0.90037,0.83578,0.32184,1.73974,0.61686,0.0001783,0.0001783,0.0001783
85,30213.1,0.43718,0.42325,0.79566,0.82225,0.822,0.89879,0.83484,0.31156,2.1791,0.61608,0.0001684,0.0001684,0.0001684
86,30334.8,0.43058,0.42254,0.79027,0.87401,0.78057,0.89798,0.83286,0.31935,2.43375,0.61498,0.0001585,0.0001585,0.0001585
87,30456.1,0.43582,0.41632,0.79228,0.93566,0.74117,0.90467,0.83551,0.32427,1.80275,0.61735,0.0001486,0.0001486,0.0001486
88,30577.9,0.43113,0.40841,0.79015,0.83598,0.82193,0.90868,0.84261,0.32128,1.55801,0.61571,0.0001387,0.0001387,0.0001387
89,30700.3,0.43,0.40899,0.79071,0.82547,0.83407,0.90811,0.84244,0.32212,1.30396,0.6152,0.0001288,0.0001288,0.0001288
90,30822.1,0.42559,0.41082,0.7903,0.82663,0.82569,0.90458,0.83928,0.321,1.30232,0.61507,0.0001189,0.0001189,0.0001189
